Set Number,Name,Age min,Pieces,State,Bubble Size,Instructions (physical)?,IP,Missing Pieces,Notes
30510,90 Years of Cars,4,71,Ready to go,1,Yes,None,,
60450,Yellow Construction Wheel Loader,4,81,Ready to go,1,Yes,Lego City,,
60463,Fire Engine,4,82,Ready to go,1,Yes,Lego City,,
60435,Tow Truck and Sports Car Repair,4,101,Ready to go,1,Yes,Lego City,,
10790,Team Spidey at Green Goblin's Lighthouse,4,149,Ready to go,1,Yes,Marvel,"6163990 grey curved tile
clear fishbowl helmet
jack-o-lantern miifig head
2x2 orange plate
grey wheel ~2x2",
43212,Disney Celebration Train,4,200,Ready to go,1,Yes,Disney,"white legs with gold feet 
sand 2x2 round brick
pirate sail
Minnie skirt
oar
2x1/4x1 snot bracket DK grey
gold lantern
2 thin gold rims
6388241 gold corner tile
6317181 silver squat cone 
silver cheese grater",missing one of the train cars
60458,Pizza vs. Fire Truck,5,70,Ready to go,1,Yes,Lego City,,
60401,Construction Steamroller,5,78,Ready to go,1,Yes,Lego City,6285244 dark grey ladder,
60411,Fire Rescue Helicopter,5,85,Ready to go,1,Yes,Lego City,,
60373,Fire Rescue Boat,5,144,Ready to go,1,Yes,Lego City,"purple stud
gunmetal 2x4 slope with lip
red helmet
DK grey megaphone
white helmet
red 2x1 phone like
clear curved windshield",
60451,Emergency Ambulance,5,185,Ready to go,1,Yes,Lego City,med blue clear 1x1 cheese,
60369,Mobile Police Dog Training,5,197,Ready to go,1,Yes,Lego City,"red rod
minifig head - sunnies
pale blue torso",
6485235,Dragon,6,34,Ready to go,1,Yes,None,6291017 aqua small wedge right (sub: red),Year of the Dragon Promotional Free Gift
6548650,Spider,6,34,Ready to go,1,Yes,None,,
30672,Steve and Baby Panda,6,35,Ready to go,1,Yes,Minecraft,,
21266,The Nether Lava Battle,6,99,Ready to go,1,Yes,Minecraft,,
76308,Spider-Man Mech vs. Anti-Venom,6,107,Ready to go,1,Yes,Marvel,"antivenom minifig
blue 1x1 misc tooth",
31128,Dolphin and Turtle,6,137,Ready to go,1,Yes,3-in-1,"1x1 inverted SNOT bracket sand
2 pink tentacles (in haunted house)
1 pale blue 2x1 curve",
75368,Darth Vader Mech,6,139,Ready to go,1,Yes,Star Wars,cheese grater - dark grey x 2,
60453,Lifeguard Beach Rescue Truck,6,214,Ready to go,1,Yes,Lego City,,
60362,Car Wash,6,243,Ready to go,1,Yes,Lego City,"6411333 car top - yellow
dark grey wheel frame (substituded with 2x6, 4x4 and 2 2x1s (and 2 4x2s I think)
dark grey windscreen",
60449,Off-Road Police Car Chase,6,467,Ready to go,1,Yes,Lego City,"6419110 minifig head with moustache
black bars
6057397 black stering wheel
6471326 fluro yellow torso",
21267,The Illager Desert Patrol,7,105,Ready to go,1,Yes,Minecraft,2x1 gold bar,
42102,Mini CLAAS XERION,7,130,Ready to go,1,Yes,None,"red cross technic rod 6
large tyre",
72031,Yoshi Bike,7,133,Ready to go,1,Yes,Super Mario,,
31058,Mighty Dinosaurs,7,174,Ready to go,1,Yes,3-in-1,"2x1 tile with 3 teeth white 
4x1 tile sand
4568385 small black tooth
2x2 curved tile green
2x 1x1 claw on top, dark grey
2x1 dark green plate",
21158,The Panda Nursery,7,204,Ready to go,1,Yes,Minecraft,,
75372,Clone Trooper & Battle Droid Battle Pack,7,215,Ready to go,1,Yes,Star Wars,"battle droids
6290456 silencer 1x1 - black x 2
black megaphone
6317545 - triangle x 2
6359935 - strange binoculars - grey
1x1 round brick - clear pink",Missing battle droids
21268,The Baby Pig House,7,238,Ready to go,1,Yes,Minecraft,,
75431,327th Star Corps Clone Troopers Battle Pack,7,258,Ready to go,1,Yes,Star Wars,,
